URN,imgurn,description,type,name
urn:cite:fums:CharacterInv.1,"urn:cite:ecod:codbod25.cb-0025_001r@0.1342,0.28,0.0261,0.0208","βλ","ligature","beta+lambda 1"
urn:cite:fums:CharacterInv.2,"urn:cite:ecod:codbod25.cb-0025_001r@0.2156,0.2719,0.0255,0.0237","εσ","ligature","epsilon+sigma 1"
urn:cite:fums:CharacterInv.3,"urn:cite:ecod:codbod25.cb-0025_001r@0.2738,0.2749,0.06,0.0225","ιυ χυ","abbreviation","Jesus Christ 1"
urn:cite:fums:CharacterInv.4,"urn:cite:ecod:codbod25.cb-0025_001r@0.385,0.2758,0.0475,0.0244","δαδ","abbreviation","David 1"
urn:cite:fums:CharacterInv.5,"urn:cite:ecod:codbod25.cb-0025_001v@0.3533,0.1918,0.0185,0.0177","ν","character","nu 1"
urn:cite:fums:CharacterInv.6,"urn:cite:ecod:codbod25.cb-0025_001r@0.4206,0.048,0.0176,0.0132","σπ","ligature","sigma+pi 1"
urn:cite:fums:CharacterInv.7,"urn:cite:ecod:codbod25.cb-0025_001r@0.1351,0.2768,0.032,0.0255","βλο","ligature","beta+lambda+omicron"
urn:cite:fums:CharacterInv.8,"urn:cite:ecod:codbod25.cb-0025_001r@0.3353,0.2768,0.023,0.0188","υι","ligature","upsilon+iota 1"
urn:cite:fums:CharacterInv.9,"urn:cite:ecod:codbod25.cb-0025_001r@0.6126,0.2791,0.021,0.0225","β","character","beta 1"
urn:cite:fums:CharacterInv.10,"urn:cite:ecod:codbod25.cb-0025_001r@0.4975,0.2776,0.021,0.0225","β","character","beta 1"
urn:cite:fums:CharacterInv.11,"urn:cite:ecod:codbod25.cb-0025_001r@0.1652,0.2963,0.034,0.0225","εγε","ligature","epsilon+gamma+epsilon 1"
urn:cite:fums:CharacterInv.12,"urn:cite:ecod:codbod25.cb-0025_001r@0.1321,0.3181,0.023,0.0173","ω","character","omega 1"
urn:cite:fums:CharacterInv.13,"urn:cite:ecod:codbod25.cb-0025_001r@0.6296,0.3173,0.015,0.0173","ου","ligature","omicron+upsilon 1"
urn:cite:fums:CharacterInv.14,"urn:cite:ecod:codbod25.cb-0025_002v@0.4004,0.1868,0.035,0.027","θη","ligature","theta+eta 1"
urn:cite:fums:CharacterInv.15,"urn:cite:ecod:codbod25.cb-0025_002v@0.4064,0.2896,0.045,0.0218","κυ","abbreviation","Lord 1"
urn:cite:fums:CharacterInv.16,"urn:cite:ecod:codbod25.cb-0025_002v@0.7658,0.3083,0.0631,0.024","μρα","abbreviation","mother 1"
urn:cite:fums:CharacterInv.17,"urn:cite:ecod:codbod25.cb-0025_002v@0.4745,0.4389,0.03,0.024","ρο","ligature","rho+omicron 1"
urn:cite:fums:CharacterInv.18,"urn:cite:ecod:codbod25.cb-0025_001v@0.7267,0.4149,0.049,0.0195","πνσ","abbreviation","spirit 1"
