urn,imgurn,textreading,comments,texturn
urn:cite:openpal:fuCB25op.1,"urn:cite:ecod:codbod25.cb-0025_001r@0.1231,0.2738,0.012,0.024",ι,iota acute,
urn:cite:openpal:fuCB25op.2,"urn:cite:ecod:codbod25.cb-0025_001r@0.1341,0.2798,0.016,0.0135",β,beta,
urn:cite:openpal:fuCB25op.3,"urn:cite:ecod:codbod25.cb-0025_001r@0.1401,0.2798,0.019,0.0195",λ,lambda,
urn:cite:openpal:fuCB25op.4,"urn:cite:ecod:codbod25.cb-0025_001r@0.1491,0.2768,0.017,0.0195",ο,omicron,
urn:cite:openpal:fuCB25op.5,"urn:cite:ecod:codbod25.cb-0025_001r@0.1662,0.2776,0.018,0.0195",ς,sigma,
urn:cite:openpal:fuCB25op.6,"urn:cite:ecod:codbod25.cb-0025_001r@0.1832,0.2798,0.016,0.0195",γ,gamma,
urn:cite:openpal:fuCB25op.7,"urn:cite:ecod:codbod25.cb-0025_001r@0.1942,0.2731,0.014,0.018",ε,epsilon,
urn:cite:openpal:fuCB25op.8,"urn:cite:ecod:codbod25.cb-0025_001r@0.2042,0.2761,0.014,0.0225",ν,nu,
urn:cite:openpal:fuCB25op.9,"urn:cite:ecod:codbod25.cb-0025_001r@0.2182,0.2708,0.02,0.0248",εσ,epsilon sigma ligature acute,
urn:cite:openpal:fuCB25op.10,"urn:cite:ecod:codbod25.cb-0025_001r@0.2342,0.2783,0.015,0.0165",ε,epsilon grave,
urn:cite:openpal:fuCB25op.11,"urn:cite:ecod:codbod25.cb-0025_001r@0.2462,0.2791,0.018,0.0165",ω,omega,
urn:cite:openpal:fuCB25op.12,"urn:cite:ecod:codbod25.cb-0025_001r@0.2623,0.2798,0.018,0.0165",σ,sigma,
urn:cite:openpal:fuCB25op.13,"urn:cite:ecod:codbod25.cb-0025_001r@0.2783,0.2753,0.01,0.0203",ι,iota smooth breathing,
urn:cite:openpal:fuCB25op.14,"urn:cite:ecod:codbod25.cb-0025_001r@0.2863,0.2761,0.019,0.0203",υ,omicron upsilon abbrev,
urn:cite:openpal:fuCB25op.15,"urn:cite:ecod:codbod25.cb-0025_001r@0.3023,0.2798,0.02,0.0195",χ,chi,
urn:cite:openpal:fuCB25op.16,"urn:cite:ecod:codbod25.cb-0025_001r@0.3143,0.2716,0.021,0.0233",υ,omicron upsilon abbrev,
urn:cite:openpal:fuCB25op.17,"urn:cite:ecod:codbod25.cb-0025_001r@0.3373,0.2731,0.021,0.0233",υι,upsilon iota ligature dasia,
urn:cite:openpal:fuCB25op.18,"urn:cite:ecod:codbod25.cb-0025_001r@0.3544,0.2798,0.016,0.0188",ο,omicron,
urn:cite:openpal:fuCB25op.19,"urn:cite:ecod:codbod25.cb-0025_001r@0.3674,0.2753,0.015,0.0218",υ,upsilon circumflex,
urn:cite:openpal:fuCB25op.20,"urn:cite:ecod:codbod25.cb-0025_001r@0.3834,0.2716,0.016,0.0218",δ,delta,
urn:cite:openpal:fuCB25op.21,"urn:cite:ecod:codbod25.cb-0025_001r@0.3954,0.2738,0.02,0.0218",α,alpha abbrev,
urn:cite:openpal:fuCB25op.22,"urn:cite:ecod:codbod25.cb-0025_001r@0.4104,0.2761,0.02,0.0188",δ,delta,
urn:cite:openpal:fuCB25op.23,"urn:cite:ecod:codbod25.cb-0025_001r@0.4374,0.2783,0.023,0.0188",υι,upsilon iota ligature dasia,
urn:cite:openpal:fuCB25op.24,"urn:cite:ecod:codbod25.cb-0025_001r@0.4575,0.2821,0.014,0.015",ο,omicron,
