urn,imgurn,textreading,comments,texturn
urn:cite:openpal:fuwycop.1,"urn:cite:fufolioimg:WycliffRGB.W001r@0.5075,0.1238,0.01,0.0143",h,h,
urn:cite:openpal:fuwycop.2,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5175,0.126,0.008,0.0098',e,e,
urn:cite:openpal:fuwycop.3,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5256,0.1231,0.01,0.0122',b,b,
urn:cite:openpal:fuwycop.4,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5356,0.124,0.0063,0.0113',o,o,
urn:cite:openpal:fuwycop.5,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5415,0.126,0.009,0.0083',o,o,
urn:cite:openpal:fuwycop.6,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5495,0.123,0.01,0.0098',k,k,
urn:cite:openpal:fuwycop.7,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5626,0.1245,0.009,0.0075',o,o,
urn:cite:openpal:fuwycop.8,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5706,0.1215,0.009,0.0113',f,f,
urn:cite:openpal:fuwycop.9,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5816,0.12,0.009,0.0143',Þ,thorn,
urn:cite:openpal:fuwycop.10,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5896,0.1208,0.009,0.0113',e,e,
urn:cite:openpal:fuwycop.11,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5976,0.1208,0.012,0.012',g,g,
urn:cite:openpal:fuwycop.12,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6086,0.1208,0.008,0.0105',e,e,
urn:cite:openpal:fuwycop.13,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6156,0.1193,0.009,0.0113',n,n,
urn:cite:openpal:fuwycop.14,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6246,0.12,0.007,0.0113',e,e,
urn:cite:openpal:fuwycop.15,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6306,0.1208,0.007,0.0068',r,r,
urn:cite:openpal:fuwycop.16,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6366,0.12,0.01,0.0083',a,a,
urn:cite:openpal:fuwycop.17,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6446,0.1193,0.01,0.0098',ci,ci ligature,
urn:cite:openpal:fuwycop.18,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6537,0.1193,0.008,0.0083',o,o,
urn:cite:openpal:fuwycop.19,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6607,0.117,0.014,0.0113',u,un abrev,
urn:cite:openpal:fuwycop.20,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6757,0.117,0.007,0.0105',o,o,
urn:cite:openpal:fuwycop.21,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6817,0.117,0.01,0.0098',f,f,
urn:cite:openpal:fuwycop.22,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6897,0.1163,0.008,0.012',i,i,
urn:cite:openpal:fuwycop.23,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6967,0.1155,0.008,0.0143',h,h,
urn:cite:openpal:fuwycop.24,'urn:cite:fufolioimg:WycliffRGB.W001r@0.7047,0.1148,0.01,0.0128',u,us abrev,
urn:cite:openpal:fuwycop.25,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5075,0.1403,0.007,0.0083',c,c,
urn:cite:openpal:fuwycop.26,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5135,0.1403,0.007,0.0098',r,r,
urn:cite:openpal:fuwycop.27,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5205,0.1388,0.004,0.0098',i,i,
urn:cite:openpal:fuwycop.28,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5225,0.1373,0.016,0.012',st,st ligature,
urn:cite:openpal:fuwycop.29,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5445,0.1388,0.011,0.012',Þ,thorn,
urn:cite:openpal:fuwycop.30,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5546,0.1373,0.011,0.0113',e,e,
urn:cite:openpal:fuwycop.31,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5656,0.1343,0.009,0.012',s,s
urn:cite:openpal:fuwycop.32,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5716,0.1388,0.007,0.0075',o,o,
urn:cite:openpal:fuwycop.33,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5786,0.1343,0.008,0.0113',n,n,
urn:cite:openpal:fuwycop.34,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5856,0.1358,0.011,0.0098',e,e,
urn:cite:openpal:fuwycop.35,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5956,0.135,0.009,0.009',o,o,
urn:cite:openpal:fuwycop.36,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6036,0.132,0.01,0.0135',f,f,
urn:cite:openpal:fuwycop.37,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6136,0.1335,0.015,0.0098',da,da ligature,
urn:cite:openpal:fuwycop.38,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6276,0.1328,0.01,0.0113',u,u,
urn:cite:openpal:fuwycop.39,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6356,0.1328,0.006,0.0105',i,i,
urn:cite:openpal:fuwycop.40,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6396,0.1343,0.011,0.0113',Þ,thorn,
urn:cite:openpal:fuwycop.41,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6527,0.1313,0.011,0.015',Þ,thorn,
urn:cite:openpal:fuwycop.42,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6617,0.132,0.013,0.0105',e,e,
urn:cite:openpal:fuwycop.43,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6737,0.1313,0.009,0.0098',s,s,
urn:cite:openpal:fuwycop.44,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6787,0.1335,0.008,0.0083',o,o,
urn:cite:openpal:fuwycop.45,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6867,0.132,0.009,0.009',n,n,
urn:cite:openpal:fuwycop.46,'urn:cite:fufolioimg:WycliffRGB.W001r@0.6937,0.1305,0.011,0.012',e,e,
urn:cite:openpal:fuwycop.47,'urn:cite:fufolioimg:WycliffRGB.W001r@0.7037,0.1313,0.008,0.009',o,o,
urn:cite:openpal:fuwycop.48,'urn:cite:fufolioimg:WycliffRGB.W001r@0.7107,0.1298,0.01,0.0113',f,f,
urn:cite:openpal:fuwycop.49,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5095,0.1523,0.01,0.0113',a,a,
urn:cite:openpal:fuwycop.50,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5175,0.1508,0.016,0.0113',br,br ligature,
urn:cite:openpal:fuwycop.51,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5325,0.1508,0.009,0.0128',a,a,
urn:cite:openpal:fuwycop.52,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5405,0.15,0.009,0.0135',h,h,
urn:cite:openpal:fuwycop.53,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5495,0.1515,0.009,0.009',a,a,
urn:cite:openpal:fuwycop.54,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5576,0.1508,0.013,0.0105',m,m,
urn:cite:openpal:fuwycop.55,'urn:cite:fufolioimg:WycliffRGB.W001r@0.5776,0.1485,0.01,0.012',a,a,
